From date;To date;Event;Link;Category;Event ID
########################################################
## FORMAT: webtrees gramps-historical-facts
## TOPIC: General world history
## REGION: Worldwide
## VERSION: 1.1
## AUTHOR: Kaj Mikkelsen / HistContext contributors
## CONTACT: https://github.com/kajmikkelsen/HistContext
########################################################
1901;; Guglielmo Marconi received the first transatlantic radio signal.;https://wikipedia.org/wiki/Guglielmo_Marconi;Technology;c6258356-31e2-491d-9ffd-2839a8ab0890
1903;;First controlled heavier-than-air flight of the Wright brothers;https://wikipedia.org/wiki/Wright_brothers;Technology;cab9712a-7e83-4da4-b623-bd4314724c1d
1908;;Ford model T invented;https://wikipedia.org/wiki/Ford_Model_T;Technology;d92ef5d7-c122-4ff5-8d13-308d7afde61e
1908;;Messina earthquake;https://wikipedia.org/wiki/1908_Messina_earthquake;Disaster;245e855a-f2de-4ef8-b8a1-58855ffa7e88
1911;; Roald Amundsen first reaches the South Pole;https://wikipedia.org/wiki/Roald_Amundsen;Science;0b1eb0c8-8127-474d-a42b-fdfc07b3d838
1912;;Sinking of the RMS Titanic;https://wikipedia.org/wiki/Sinking_of_the_Titanic;Disaster;3ab25c7e-8b18-41ba-be3a-7ec002877d7a
1914;1918;WWI;https://wikipedia.org/wiki/World_War_I;Politics;e71bd1da-bf40-459b-a981-4b59568a2820
1917;;Russian Revolution;https://wikipedia.org/wiki/Russian_Revolution;Politics;e41eccd2-17ab-4f7c-b252-59bdde866eea
1918;1920;Spanish Flu (Worldwide);https://wikipedia.org/wiki/Spanish_flu;Health;ac8bc6db-a61f-4be6-b8f4-e79a949ecf58
1919;; Treaty of Versailles;https://wikipedia.org/wiki/Treaty_of_Versailles;Politics;3a6e054b-c6e1-4ad5-8d31-73a1b47f1d9c
1927;;First nonstop flight from New York City to Paris;https://wikipedia.org/wiki/Charles_Lindbergh;Technology;ecadc542-7c0e-43ae-9299-8e758da02502
1927;;World population reaches two billion;https://wikipedia.org/wiki/World_population;Society;5c13f0ab-1bfa-4bc8-acb2-b927c2fd362c
1928;;Discovery of penicillin;https://wikipedia.org/wiki/Penicillin;Health;22325fae-87f6-4c10-ae62-07d3565d8ca4
1933;1945;Hitler is ruling Germany;https://wikipedia.org/wiki/F%C3%BChrer;Politics;4621b9d6-7876-4cf4-9adb-19f882d73fb3
1938;;Kristallnacht;https://wikipedia.org/wiki/Kristallnacht;Politics;5464eac8-b23c-4990-97f3-ede7d8cbdb42
1939;1945;WWII;https://wikipedia.org/wiki/World_War_II;Politics;d644b319-913c-4a39-ac1b-13c5ef24bfdd
1944;;First computer  Colossus;https://wikipedia.org/wiki/Colossus_computer;Technology;328c07df-c177-475b-88b5-f62e32e5e7f5
1952;; polio vaccine;https://wikipedia.org/wiki/Polio_vaccine;Health;631905db-b79a-4117-87d2-4ad3d818a05a
1957;1958;Asian Flu (Worldwide);https://wikipedia.org/wiki/Asian_flu;Health;d0446047-33c8-4acb-a8be-22c49059ed23
1968;1969;Hong Kong Flu (Worldwide);https://wikipedia.org/wiki/Hong_Kong_flu;Health;9288411b-be06-41ae-aa93-0ea3f93edf07
1981;;HIV/AIDS (Worldwide);https://wikipedia.org/wiki/HIV/AIDS;Health;03818b8c-d805-4887-bd18-057e77cdbb65
2002;2003;SARS (Asia, worldwide);https://wikipedia.org/wiki/SARS;Health;699f30b9-6a20-47c0-88df-aa684f200ca3
2009;2010;Swine Flu (Worldwide);https://wikipedia.org/wiki/2009_flu_pandemic;Health;7fa081d1-0a25-4ce5-add6-773dd4f3f38a
2014;2016;Ebola (West Africa);https://wikipedia.org/wiki/Ebola_virus_disease;Health;de31a944-c44e-4f10-a164-b9d4e66afb09
2015;2016;Zika Virus (Americas);https://wikipedia.org/wiki/Zika_virus;Health;c770c994-ef54-41c2-82d2-948506bc5bde
2019;2023;COVID-19 (Worldwide);https://wikipedia.org/wiki/COVID-19_pandemic;Health;621e6b17-ca2a-46bb-a4dc-15f55f1aad26
