date;event;note;type;Event ID
18 OCT 1940;Letzte zivile Hinrichtung in der Schweiz;In der Strafanstalt Sarnen wird der dreifach Mörder Hans Vollenweider (geb. 1908) mit der Guillotine hingerichtet. Während des zweiten Weltkriegs werden 17 Landesverräter nach Militärstrafrecht erschossen.;Historic event: Switzerland;7354cb71-6aff-4802-9892-6955b2b85667
01 APR 1944;Bombardierung Schaffhausens;Beim schwersten Bombardement Schweizerischen Territoriums verlieren in Schaffhausen vierzig Personen ihr Leben. Über hundert Personen werden verletzt.;Historic event: Switzerland;3ec2bf1b-79dd-44bb-b73b-fffe613f930a
24 AUG 1944;Murgang im Durnagelbach (Linthal GL);Der schwallartige Durchbruch des entstandenen Rückstaus der Linth führte zu Verheerungen der ufernahen Gebiete bis zum Walensee hinunter.;Historic event: Switzerland;e4246609-a800-41e9-9ba1-29fc1d941e53
4 SEP 1963;Flugzeugabsturz bei Dürrenäsch;Eine Swissair-Maschine stürzt beim Flug Zürich-Genf ab. Alle 82 Insassen sterben, darunter 43 aus dem 217 Einwohner zählenden Bauerndorf Humlikon, die eine landwirtschaftliche Versuchsanstalt in der Nähe von Genf besuchen wollten. Das Unglück hinterliess im Dorf 39 Vollwaisen und fünf Halbwaisen.;Historic event: Switzerland;833ec3eb-d01d-4ecd-adee-45795f5172af
21 FEB 1970;Bomenanschlag auf Swissair-Maschine;Bei Würenlingen stürzt die Maschine des Fluges Zürich-Tel Aviv durch einen Paketbombenanschlag palästinensischer Terroristen ab. Alle 47 Insassen, darunter zehn Schweizer, kommen ums Leben.;Historic event: Switzerland;40eb9e11-ec95-44dd-8118-2efa7cf93816
03 MAY 1971;Glarner Landsgemeinde führt Stimm- und Wahlrecht für Frauen ein;"Im Zuge der Eidg. Volksabstimmung vom 7. Februar 1971 erhalten die Glarnerinnen das Stimm- und Wahlrecht in Kanton und Gemeinden; siehe [Video im SRF](http://www.srf.ch/play/tv/me_schonvergessen/video/glarner-sagen-ja-zum-frauenstimmrecht?id=4a134ddb-cd2e-4783-8d94-d7c9dcbde285 ).";Historic event: Switzerland;c451a548-9d46-4bfc-80c9-6395a481c4ff
07 MAY 1972;erste Glarner Landsgemeinde mit Beteiligung der Frauen;Zum ersten Mal nehmen Frauen an einer kantonalen Landsgemeinde teil.;Historic event: Switzerland;c90ef1ba-ad46-4f35-a851-9480b48ad09c
26 APR 1986;Atomunfall Tschernobyl;Eine Kernschmelze in einem Reaktor in Tschernobyl bringt tausend Menschen den Tod und belastet weite Teile Europas radioaktiv. Die radioaktive Wolke erreicht am 30. April 1986 die Schweiz. In der Schweiz sind das Tessin, ein Teil der Ostschweiz und einige Gebiete des Juras die am schlimmsten betroffenen Regionen.;Historic event: Switzerland;7cee85e9-e6f0-4499-9caa-d10daeb68b23
25 FEB 1990;Orkan Vivian fegt über die Gebirgswälder;Der Orkan Vivian kam mit Windböen von bis zu 268 km/h und dauerte bis zum 27. Februar an.;Historic event: Switzerland;0d54bca5-2cbc-465a-869d-2b0f7ea44078
17 NOV 1997;Terroranschlag in Luxor;Beim bis dahin blutigsten Terroranschlag auf Touristen werden in der oberägyptischen Stadt Luxor 72 Menschen von radikalen Islamisten erschossen, darunter 36 Schweizer.;Historic event: Switzerland;93367329-7013-4394-827f-0e3c90297a84
26 DEC 1999;Orkan Lothar fegt über die Schweiz;Der Orkan Lothar verursacht in der Schweiz CHF 500 Mio. an Gebäudeschäden.;Historic event: Switzerland;d08434c3-9209-471d-9e30-b90a386be773
11 SEP 2001;Terror in New York;Islamistische Terroristen kapern Passagierflugzeuge und steuern diese u.a. in die Zwillingstürme des World Trade Centers in New York. Auch zwei Schweizer verlieren ihr Leben.;Historic event: Switzerland;3ef1d9e1-a0d7-4b3c-adf3-db7c8b6902fb
