date;event;note;type;Event ID
@#DJULIAN@ 06 JUL 1449;Schlacht bei Castione;Uri unterliegt der Ambrosianischen Republik (Mailand) während der Ennetbirgischen Feldzüge 1402–1515.;Historic event: Switzerland;99723c4a-199f-4d75-99e2-c9ceff881b16
@#DJULIAN@ 12 NOV 1459;Stiftung der Universität Basel;Papst Julius II. stiftet die Universität Basel.;Historic event: Switzerland;a1d2f5b7-0c38-4d6a-ac41-46ce0190bb02
@#DJULIAN@ 13 NOV 1474;Schlacht bei Héricourt;Eidgenossen und Verbündete (u.a. Habsburger u. Elsäßer) besiegen Burgund.;Historic event: Switzerland;8b368033-3aa6-4054-b332-08631c827aa9
@#DJULIAN@ 13 NOV 1475;Schlacht auf der Planta;Die sieben Zenden (Wallis) und Bern besiegen Savoyen bei Sion.;Historic event: Switzerland;52f9e802-2c80-4c0f-a334-fba9ee1c1cbc
@#DJULIAN@ 02 MAR 1476;Schlacht bei Grandson;In der ersten großen Auseinandersetzung der Burgunderkrieg siegen die Eidgenossen gegen burgundischen Truppen des Herzogs Karl des Kühnen.;Historic event: Switzerland;08dba1b2-2ad7-4328-bce4-c484a6b89f58
@#DJULIAN@ 22 JUN 1476;Schlacht bei Murten;Im Rahmen der Burgunderkriege besiegen die Eidgenossen in der zweiten großen Schlacht ein Heer des Herzogs Karl des Kühnen.;Historic event: Switzerland;5d1a8839-c0fa-48e4-8e31-34d82e30e1b4
@#DJULIAN@ 05 JAN 1477;Schlacht bei Nancy;In der letzten Auseinandersetzung der Burgunderkriege siegen die für René II. von Lothringen kämpfenden Eidgenossen gegen Karl den Kühnen. Dieser verstirbt an einem Hellebardenhieb.;Historic event: Switzerland;65ba07cb-3414-4cc0-b592-1174b95db153
@#DJULIAN@ 28 DEC 1478;Schlacht bei Giornico;Die Eidgenossen besiegen ein Heer des Herzogtums Mailand (Ennetbirgische Feldzüge 1402–1515);Historic event: Switzerland;21f12473-0cff-4077-a6e5-207c9f531907
1481;Freiburg und Solothurn treten Eidgenossenschaft bei;Die Städte Freiburg (im Üechtland) und Solothurn treten der Eidgenossenschaft bei.;Historic event: Switzerland;abc30cde-9a0d-455e-9fbe-eddb4706573b
@#DJULIAN@ 06 APR 1489;Hinrichtung Waldmanns;In Zürich wird der Bürgermeister Hans Waldmann hingerichtet. Dankbar nahm er entgegen, mit dem Schwert und nicht auf andere Weise hingerichtet zu werden. Seine letzte Worte: «Bewahr dich Gott vor Leid, mein liebes Zürich.»;Historic event: Switzerland;514f3a8c-60fa-493e-9e3a-7ed451de9f2e
FROM @#DJULIAN@ 28 JUL 1489 TO 1490;St. Gallerkrieg;Fürstabt von St. Gallen mit Zürich, Luzern, Schwyz und Glarus besiegt Appenzell und die Stadt St.Gallen.;Historic event: Switzerland;3f3bd87e-f3bb-4a30-9b49-81ebe496297c
@#DJULIAN@ 22 MAR 1499;Gefecht am Bruderholz;Während des Schwabenkriegs besiegen die Eidgenossen den Schwäbischen Bund.;Historic event: Switzerland;cd92cccd-6273-40ec-bd74-725ad4b8d49b
@#DJULIAN@ 11 APR 1499;Schlacht im Schwaderloh;Während des Schwabenkriegs besiegen die Eidgenossen den Schwäbischen Bund.;Historic event: Switzerland;ca057f45-e0ba-4316-9189-0891c5c59db0
@#DJULIAN@ 20 APR 1499;Schlacht bei Frastanz;Während des Schwabenkriegs besiegen die Eidgenossen den Schwäbischen Bund.;Historic event: Switzerland;6562a98f-60f8-4a75-9674-92a48dec0776
@#DJULIAN@ 22 MAY 1499;Schlacht an der Calven;Während des Schwabenkriegs besiegen die Drei Bünde und die Eidgenossen den Schwäbischen Bund und König Maximilian I. von Österreich.;Historic event: Switzerland;3d1e1374-b753-4a46-9077-8ee9ec147198
@#DJULIAN@ 22 JUL 1499;Schlacht bei Dornach;Während des Schwabenkriegs besiegen die Eidgenossen den Schwäbischen Bund und König Maximilian I. von Österreich.;Historic event: Switzerland;ca322ae7-2c12-4559-9762-8ae3a22d0c74
1501;Basel und Schaffhausen treten Eidgenossenschaft bei;Städte Basel und Schaffhausen treten der Eidgenossenschaft bei.;Historic event: Switzerland;bb5bdc25-cbee-455b-851e-52a9fe4c46f5
@#DJULIAN@ 11 APR 1503;Bellinzona an die Waldstätte;Frankreich tritt Bellinzona an die Waldstätte ab.;Historic event: Switzerland;68f3e448-9975-484e-a2c4-2ad8ac3d04b9
@#DJULIAN@ 21 SEP 1506;Zwingli wird Pfarrer in Glarus;Pfarrinstallation Ulrich Zwinglis in Glarus.;Historic event: Switzerland;c2cfb7e2-95db-4ffb-9692-96fe855de168
1513;Appenzell tritt Eidgenossenschaft bei;Land Appenzell tritt der Eidgenossenschaft bei.;Historic event: Switzerland;829fefa0-b088-4efc-89ae-ff02a8cdf9f5
@#DJULIAN@ 06 JUN 1513;Schlacht bei Novara;Die Eidgenossen besiegen während der italienischen Kriege Frankreich unter König Louis XII.;Historic event: Switzerland;ef91169c-978e-4ab5-95e4-32f18b10ff4e
FROM @#DJULIAN@ 13 SEP 1515 TO @#DJULIAN@ 14 SEP 1515;Schlacht bei Marignano;Frankreich und Venedig besiegen die Dreizehn Alten Orte.;Historic event: Switzerland;ea7c08f4-60a1-4c57-b2d4-de3d48f72dcb
@#DJULIAN@ 14 APR 1516;Zwingli wird Leutprieser in Einsiedeln;Nachdem Zwingli Anfang 1516 in Glarus für drei Jahre beurlaubt wurde, resp. Glarus verlassen musste, beruft ihn Diebold von Geroldseck als Leutpriester und Prediger in das Kloster Maria-Einsiedeln.;Historic event: Switzerland;4f99ccbc-8ba8-4808-978d-c31d6c3e1a18
@#DJULIAN@ 01 JAN 1519;Zwingli wird Leutprieser in Zürich;Zwingli wird Leutpriester im dem Bistum Konstanz zughörigen Großmüsterstift.;Historic event: Switzerland;09981087-5bb5-4e75-b669-e9206d427c2a
@#DJULIAN@ 27 APR 1522;Schlacht bei Bicocca;In der Schlacht bei Bicocca unterliegen die an der Seite der Franzosen und Venezier kämpfenden Eidgenossen einem spanisch-habsburgischen Heer. Diese Niederlage war maßgeblich auf die Überlegenheit der spanischen Arkebusiere und Artillerie über die Eidgenössischen Pikeniere zurückzuführen.;Historic event: Switzerland;1b720b8b-453c-44a2-9f53-f80a957a28e0
@#DJULIAN@ 23 SEP 1524;Freitstaat der Drei Bünde entsteht;Mit dem Bundesbrief geben sich der Gotteshausbund, der Graue Bund (Obere Bund) und der Zehngerichtebund eine gemeinsame Verfassung.;Historic event: Switzerland;8e0007fe-2c75-41f9-8e90-9921b7e46e7c
@#DJULIAN@ 07 FEB 1528;Bern wird reformiert;In Bern wird die Reformation eingeführt.;Historic event: Switzerland;6bf31afe-bb77-4624-ae7b-964357edd531
@#DJULIAN@ 26 JUN 1529;Erster Landfrieden;Im Ersten Kappeler Landfrieden wurde die Reformation durch die fünf katholischen Orte formell anerkannt. Im Gegenzug erhielten diese ihren Glauben garantiert. Zum ersten Mal wurde das gleichwertige Nebeneinander der Konfessionen gewährt.;Historic event: Switzerland;30a4e0e7-2b90-4569-b0fc-158f90ead138
@#DJULIAN@ 11 OCT 1531;Schlacht bei Kappel;In der Schlacht bei Kappel im Rahmen des Zweiten Kappelerkriegs der katholischen Orte gegen Zürich, verliert Zürich. Der Reformator gerät in Gefangenschaft und wird getötet. Sein Leichnam lassen die katholischen Truppen vierteilen und verbrennen. Die Asche wird in den Wind gestreut.;Historic event: Switzerland;0248be88-849e-43d8-b28d-ea1fa7261f8b
@#DJULIAN@ 06 JAN 1536;Waadt kommt zu Bern;Die Waadt wird von den Bernern eingenommen.;Historic event: Switzerland;5e41e4d3-55c5-4c1a-886b-597d1e7ed6ff
24 OCT 1648;Westfälischer Friede;Der erste moderne Friedensvertrag beendet den Dreißigjährigen Krieg. Die Eidgenossenschaft wird reichsfrei.;Historic event: Switzerland;c25d4eac-32e9-439a-a7e9-e20bd7304da6
06 JAN 1656;Kriegserklärung Zürichs an Schwyz;Zürich erklärt im Namen der reformierten Orte Schwyz den Krieg.;Historic event: Switzerland;465c67bc-9401-4b51-b790-798fe1393048
